dataset,condition,layer,relative_depth,mean,sem,count,metric
Baseline 200,7B 40Pred untrained,0,0.0,0.0012071571386931,0.030379559784617,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,1,0.0104166666666666,0.0002302365015151,0.0237069281904203,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,2,0.0208333333333333,0.0238522256565258,0.0197829592169146,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,3,0.03125,0.0367551737891006,0.0218775648633421,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,4,0.0416666666666666,0.0440269232147154,0.0227356526027242,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,5,0.0520833333333333,0.0395402277630953,0.0252263543872618,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,6,0.0625,0.0264266900189345,0.0238913546795096,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,7,0.0729166666666666,0.0122318924110513,0.0221099352930571,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,8,0.0833333333333333,0.014407452332365,0.0242417751893363,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,9,0.09375,0.0109243109663279,0.0251268864201842,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,10,0.1041666666666666,0.0181039058937406,0.0270320514264747,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,11,0.1145833333333333,0.0178920499238644,0.0269593613479691,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,12,0.125,0.0280950922174725,0.0257284983552428,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,13,0.1354166666666666,0.0307294828136246,0.02645227827607,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,14,0.1458333333333333,0.0320970977897341,0.0252809239424031,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,15,0.15625,0.0344267569513685,0.0253381146961118,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,16,0.1666666666666666,0.0281103853503967,0.0274105166408828,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,17,0.1770833333333333,0.0353479776183328,0.0273441208304071,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,18,0.1875,0.0415276688617024,0.026408988482171,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,19,0.1979166666666666,0.0451415306417586,0.0263974204608478,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,20,0.2083333333333333,0.0422698511091652,0.0267185445293092,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,21,0.21875,0.0416873018765299,0.0284366563982185,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,22,0.2291666666666666,0.0439468794775039,0.0297030315618206,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,23,0.2395833333333333,0.0469779486610967,0.0293840587936467,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,24,0.25,0.0537194140845551,0.0297847943379646,8,mean participant-level r_cv_norm in language fROIs
