dataset,condition,peak_layer,peak_relative_depth,peak_mean,peak_sem,n
Baseline 200,7B 40Pred untrained,25,0.2604166666666667,0.0562764913885774,0.029261909099442,8
Baseline 200,AuriStream-MTP 7B 40Pred,63,0.65625,0.4848699033872481,0.0223663454238048,8
Baseline 200,GPT-2 XL,20,0.4166666666666667,0.529701625732961,0.0227422494144853,8
Baseline 200,GPT-J 6B,7,0.25,0.5446437739330595,0.0218777193376645,8
Baseline 200,Qwen3 8B,18,0.5,0.5378252420414901,0.0202965336134287,8
Natural Stories,AuriStream-MTP 7B 40Pred,67,0.6979166666666666,0.3128241573146437,0.0282817618907604,9
Natural Stories,7B 40Pred untrained,25,0.2604166666666667,0.1791027169975492,0.0401201061516252,9
Natural Stories,GPT-2 XL,25,0.5208333333333334,0.3372000418207025,0.0534000359630102,9
Natural Stories,GPT-J 6B,19,0.6785714285714286,0.3810359093796703,0.0391113933520321,9
Natural Stories,Qwen3 8B,23,0.6388888888888888,0.4103437159017361,0.0547041029244553,9
